botid, date, time, press, atp, 
#, mmddyy, hhmmss, dbar, ng/kg, 
1610200412, 071404, 014514,  100.1,  22.45,
1610200409, 071404, 014314,  125.8,  10.30,
1610200406, 071404, 014123,  149.4,   5.32,
1620200818, 081604, 232016,    4.7,  22.71,
1620200816, 081604, 231910,   24.4,  25.14,
1620200814, 081604, 231805,   44.6,  32.56,
1620200812, 081604, 231651,   75.0,  15.79,
1620200810, 081604, 231530,   99.4,  28.69,
1620200808, 081604, 231415,  123.6,   9.57,
1620200806, 081604, 231307,  149.0,   8.73,
1630201311, 093004, 004753,    4.9,  21.09,
1630201310, 093004, 004624,   24.6,  25.49,
1630201309, 093004, 004453,   44.8,  30.03,
1630201308, 093004, 004323,   74.5,  28.90,
1630201307, 093004, 004153,   99.7,  34.20,
1630201306, 093004, 004033,  125.0,  16.63,
1630201305, 093004, 003913,  149.0,   9.99,
1640201218, 110104, 010036,    4.5,  29.18,
1640201216, 110104, 005905,   24.6,  31.13,
1640201214, 110104, 005735,   44.0,  31.64,
1640201212, 110104, 005555,   73.5,  34.49,
1640201210, 110104, 005416,   98.9,   9.98,
1640201208, 110104, 005222,  123.6,   9.62,
1640201206, 110104, 005042,  149.0,   3.62,
1650200516, 112804, 005603,    4.9,  21.30,
1650200513, 112804, 005354,   25.2,  31.08,
1650200512, 112804, 005222,   44.0,  33.83,
1650200511, 112804, 005023,   75.4,  33.55,
1650200507, 112804, 004705,  100.0,  27.51,
1650200506, 112804, 004448,  125.6,  13.05,
1650200505, 112804, 004303,  150.3,   6.33,
1660200611, 122104, 005348,    3.9,  37.19,
1660200610, 122104, 005233,   24.5,  38.31,
1660200609, 122104, 005131,   44.5,  40.15,
1660200608, 122104, 005008,   74.1,  31.69,
1660200607, 122104, 004858,   98.5,  18.57,
1660200606, 122104, 004748,  123.7,  10.49,
1660200605, 122104, 004618,  149.4,   7.30,
1670200511, 020205, 005347,    5.1,  28.62,
1670200510, 020205, 005231,   24.8,  27.07,
1670200509, 020205, 005122,   44.0,  27.81,
1670200508, 020205, 004937,   74.2,  19.62,
1670200507, 020205, 004813,  100.0,  15.12,
1670200506, 020205, 004651,  125.0,   6.89,
1670200505, 020205, 004507,  150.6,   6.56,
1680200514, 030505, 011111,    4.8,  32.03,
1680200510, 030505, 010920,   25.1,  37.54,
1680200509, 030505, 010745,   44.9,  36.35,
1680200508, 030505, 010610,   75.1,  33.96,
1680200507, 030505, 010431,   99.9,  21.70,
1680200506, 030505, 010245,  126.3,  16.65,
1680200505, 030505, 010118,  150.5,   8.29,
1690201016, 051905, 010803,    7.6,  27.99,
1690201015, 051905, 010425,   24.1,  38.86,
1690201014, 051905, 010152,   44.0,  35.77,
1690201013, 051905, 005938,   75.0,  42.43,
1690201010, 051905, 005648,  100.2,  30.77,
1690201008, 051905, 005438,  123.9,  24.97,
1690201006, 051905, 005233,  149.0,  21.80,
1700200519, 061505, 011110,   13.5,  30.41,
1700200518, 061505, 010933,   24.8,  31.41,
1700200514, 061505, 010541,   43.7,  46.94,
1700200512, 061505, 010248,   74.4,  41.18,
1700200511, 061505, 010102,  100.1,  40.14,
1700200509, 061505, 005717,  123.5,  21.87,
1700200507, 061505, 005525,  150.7,   9.54,
1710200616, 071705, 012402,    4.7,  20.18,
1710200615, 071705, 012252,   25.2,  28.35,
1710200614, 071705, 012132,   45.4,  31.08,
1710200613, 071705, 011951,   75.3,  27.56,
1710200612, 071705, 011822,  100.2,  18.74,
1710200611, 071705, 011651,  125.0,  21.47,
1710200610, 071705, 011521,  149.8,   9.32,
1720200517, 081405, 005119,    4.5,  16.23,
1720200515, 081405, 004958,   25.0,  28.84,
1720200513, 081405, 004846,   44.5,  28.23,
1720200510, 081405, 004718,   75.0,  33.41,
1720200508, 081405, 004601,  100.6,  32.13,
1720200506, 081405, 004331,  124.5,  15.25,
1720200505, 081405, 004226,  149.8,  11.83,
1730200521, 091005, 005603,    8.9,  26.81,
1730200519, 091005, 005353,   26.2,  29.55,
1730200517, 091005, 005245,   45.1,  42.37,
1730200514, 091005, 005113,   74.5,  23.05,
1730200511, 091005, 004953,   99.5,  15.40,
1730200508, 091005, 004733,  124.3,  12.07,
1730200507, 091005, 004628,  148.9,   6.09,
1740201311, 100905, 100613,    8.0,  14.50,
1740201310, 100905, 100333,   25.5,  16.44,
1740201309, 100905, 100059,   46.0,  21.24,
1740201308, 100905, 095935,   75.0,  14.39,
1740201307, 100905, 095814,  100.5,  21.92,
1740201306, 100905, 095634,  124.9,   9.65,
