botid, date, time, press, dop, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0630200509, 050795, 084919,  135.3,   0.18,
0630200508, 050795, 084817,  149.8,   0.18,
0630200507, 050795, 084717,  159.4,   0.17,
0630200506, 050795, 084608,  174.7,   0.13,
0630200505, 050795, 084512,  184.9,   0.14,
0630200504, 050795, 084408,  200.4,   0.11,
0640200423, 073095, 042905,    9.0,   0.30,
0640200523, 073095, 082954,    5.0,   0.29,
0640200522, 073095, 082840,   14.7,   0.27,
0640200520, 073095, 082736,   24.4,   0.29,
0640200519, 073095, 082630,   35.0,   0.31,
0640200518, 073095, 082510,   45.1,   0.27,
0640200517, 073095, 082351,   60.1,   0.29,
0640200516, 073095, 082228,   74.9,   0.27,
0640200515, 073095, 082120,   85.0,   0.32,
0640200514, 073095, 082010,   95.6,   0.26,
0640200513, 073095, 081900,  104.7,   0.23,
0640200512, 073095, 081744,  114.6,   0.23,
0640200511, 073095, 081623,  124.5,   0.21,
0640200510, 073095, 081525,  133.8,   0.21,
0640200509, 073095, 081405,  149.5,   0.17,
0640200507, 073095, 081110,  174.3,   0.20,
0640200505, 073095, 080818,  201.0,   0.14,
0650200423, 082895, 073257,    4.7,   0.23,
0650200422, 082895, 073155,   14.3,   0.26,
0650200420, 082895, 073055,   25.0,   0.32,
0650200419, 082895, 073001,   44.3,   0.37,
0650200418, 082895, 072909,   60.3,   0.32,
0650200417, 082895, 072757,   74.4,   0.29,
0650200416, 082895, 072658,   84.3,   0.25,
0650200415, 082895, 072600,   89.3,   0.23,
0650200414, 082895, 072458,   94.7,   0.26,
0650200413, 082895, 072407,  100.2,   0.25,
0650200412, 082895, 072300,  105.2,   0.24,
0650200411, 082895, 072154,  114.8,   0.21,
0650200410, 082895, 072100,  124.8,   0.21,
0650200409, 082895, 072010,  135.4,   0.19,
0650200408, 082895, 071859,  149.6,   0.17,
0650200407, 082895, 071759,  160.0,   0.15,
0650200406, 082895, 071658,  173.3,   0.16,
0650200405, 082895, 071602,  184.8,   0.16,
0650200404, 082895, 071501,  201.0,   0.16,
0660200424, 092795, 041116,    4.8,   0.25,
0660200423, 092795, 040958,   14.7,   0.31,
0660200422, 092795, 040904,   24.5,   0.28,
0660200421, 092795, 040807,   44.3,   0.28,
0660200420, 092795, 040706,   73.9,   0.26,
0660200419, 092795, 040601,   99.5,   0.26,
0660200418, 092795, 040455,  124.8,   0.21,
0660200417, 092795, 040311,  173.6,   0.20,
0660200416, 092795, 040201,  199.9,   0.16,
0660200522, 092795, 070151,    5.0,   0.31,
0660200521, 092795, 070049,   14.1,   0.31,
0660200519, 092795, 065939,   24.8,   0.31,
0660200518, 092795, 065849,   35.0,   0.28,
0660200517, 092795, 065800,   45.5,   0.30,
0660200516, 092795, 065649,   60.4,   0.30,
0660200515, 092795, 065545,   74.5,   0.27,
0660200514, 092795, 065455,   85.0,   0.29,
0660200513, 092795, 065356,   93.9,   0.24,
0660200512, 092795, 065311,  104.1,   0.25,
0660200511, 092795, 065209,  114.4,   0.21,
0660200510, 092795, 065114,  124.0,   0.18,
0660200509, 092795, 065021,  134.1,   0.19,
0660200508, 092795, 064910,  149.1,   0.17,
0660200507, 092795, 064810,  160.5,   0.17,
0660200506, 092795, 064703,  174.4,   0.16,
0660200505, 092795, 064605,  185.1,   0.20,
0660200504, 092795, 064448,  200.5,   0.17,
0670200515, 102795, 025759,  199.4,   0.14,
0670200622, 102795, 060603,    4.6,   0.25,
0670200620, 102795, 060458,   13.6,   0.25,
0670200618, 102795, 060354,   24.4,   0.27,
0670200617, 102795, 060244,   44.3,   0.28,
0670200616, 102795, 060053,   59.4,   0.29,
0670200615, 102795, 055948,   75.0,   0.30,
0670200614, 102795, 055845,   84.9,   0.24,
0670200612, 102795, 055651,  104.1,   0.23,
0670200611, 102795, 055549,  114.9,   0.23,
0670200610, 102795, 055453,  124.8,   0.23,
0670200609, 102795, 055349,  134.7,   0.19,
0670200608, 102795, 055252,  149.1,   0.20,
0670200607, 102795, 055157,  158.3,   0.18,
0670200606, 102795, 055045,  174.3,   0.18,
0670200605, 102795, 054953,  185.0,   0.13,
0670200604, 102795, 054849,  199.6,   0.11,
0680200622, 111795, 060149,    5.0,   0.17,
0680200621, 111795, 060036,   14.1,   0.19,
0680200619, 111795, 055913,   24.0,   0.19,
0680200618, 111795, 055807,   34.5,   0.18,
0680200617, 111795, 055708,   44.3,   0.21,
0680200616, 111795, 055605,   60.9,   0.19,
0680200615, 111795, 055436,   74.5,   0.18,
0680200614, 111795, 055324,   85.5,   0.15,
0680200613, 111795, 055211,   94.1,   0.15,
0680200612, 111795, 055109,  104.3,   0.14,
0680200611, 111795, 054958,  114.3,   0.14,
0680200610, 111795, 054836,  125.0,   0.12,
0680200609, 111795, 054726,  134.5,   0.13,
0680200608, 111795, 054621,  149.9,   0.11,
0680200606, 111795, 054428,  175.1,   0.08,
0680200604, 111795, 054203,  200.8,   0.07,
