botid, date, time, press, pbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
0740210007, 072796, -00009,   25.0,  1.713,
0740210006, 072796, -00009,   45.0,  1.752,
0740210005, 072796, -00009,   75.0,  2.600,
0740210004, 072796, -00009,  100.0,  1.704,
0740210003, 072796, -00009,  125.0,  0.659,
0740210002, 072796, -00009,  150.0,  0.195,
0750210008, 082196, -00009,    5.0,  2.620,
0750210007, 082196, -00009,   25.0,  2.669,
0750210006, 082196, -00009,   45.0,  3.694,
0750210005, 082196, -00009,   75.0,  3.000,
0750210004, 082196, -00009,  100.0,  2.246,
0750210003, 082196, -00009,  125.0,  0.704,
0750210002, 082196, -00009,  150.0,  0.109,
0750210001, 082196, -00009,  175.0,  0.098,
0760210008, 100296, -00009,    5.0,  2.511,
0760210007, 100296, -00009,   25.0,  2.686,
0760210006, 100296, -00009,   45.0,  2.818,
0760210005, 100296, -00009,   75.0,  1.703,
0760210003, 100296, -00009,  125.0,  0.166,
0760210002, 100296, -00009,  150.0,  0.066,
0770210008, 103096, -00009,    5.0,  2.014,
0770210007, 103096, -00009,   25.0,  2.131,
0770210006, 103096, -00009,   45.0,  2.020,
0770210005, 103096, -00009,   75.0,  1.961,
0770210004, 103096, -00009,  100.0,  0.625,
0770210003, 103096, -00009,  125.0,  0.231,
0770210002, 103096, -00009,  150.0,  0.202,
0770210001, 103096, -00009,  175.0,  0.050,
0780210008, 121196, -00009,    5.0,  2.347,
0780210007, 121196, -00009,   25.0,  2.425,
0780210006, 121196, -00009,   45.0,  2.389,
0780210005, 121196, -00009,   75.0,  2.244,
0780210004, 121196, -00009,  100.0,  1.349,
0780210003, 121196, -00009,  125.0,  0.341,
0780210002, 121196, -00009,  150.0,  0.280,
0790210008, 010897, -00009,    5.0,  2.557,
0790210007, 010897, -00009,   25.0,  2.567,
0790210006, 010897, -00009,   45.0,  2.417,
0790210005, 010897, -00009,   75.0,  1.741,
0790210004, 010897, -00009,  100.0,  0.665,
0790210003, 010897, -00009,  125.0,  0.385,
0790210002, 010897, -00009,  150.0,  0.498,
0790210001, 010897, -00009,  175.0,  0.053,
0800210008, 021897, -00009,    5.0,  2.331,
0800210007, 021897, -00009,   25.0,  2.258,
0800210006, 021897, -00009,   45.0,  2.384,
0800210005, 021897, -00009,   75.0,  2.582,
0800210004, 021897, -00009,  100.0,  1.796,
0800210003, 021897, -00009,  125.0,  0.873,
0800210001, 021897, -00009,  175.0,  0.211,
0810210008, 031297, -00009,    5.0,  2.582,
0810210007, 031297, -00009,   25.0,  2.708,
0810210006, 031297, -00009,   45.0,  3.116,
0810210005, 031297, -00009,   75.0,  1.994,
0810210004, 031297, -00009,  100.0,  1.391,
0810210003, 031297, -00009,  125.0,  0.396,
0810210002, 031297, -00009,  150.0,  0.110,
0820210008, 040997, -00009,    5.0,  1.893,
0820210007, 040997, -00009,   25.0,  2.229,
0820210006, 040997, -00009,   45.0,  2.246,
0820210005, 040997, -00009,   75.0,  0.637,
0820210004, 040997, -00009,  100.0,  0.333,
0820210003, 040997, -00009,  125.0,  0.026,
0820210002, 040997, -00009,  150.0,  0.001,
0820210001, 040997, -00009,  175.0,  0.036,
0830210008, 050797, -00009,    5.0,  2.111,
0830210007, 050797, -00009,   25.0,  2.204,
0830210006, 050797, -00009,   45.0,  2.164,
0830210005, 050797, -00009,   75.0,  2.475,
0830210004, 050797, -00009,  100.0,  1.352,
0830210003, 050797, -00009,  125.0,  0.428,
0830210002, 050797, -00009,  150.0,  0.115,
0830210001, 050797, -00009,  175.0,  0.026,
0840210008, 060497, -00009,    5.0,  1.462,
0840210007, 060497, -00009,   25.0,  1.476,
0840210006, 060497, -00009,   45.0,  1.944,
0840210005, 060497, -00009,   75.0,  1.805,
