botid, date, time, press, alk, 
#, mmddyy, hhmmss, dbar, ueq/kg, 
0660200518, 092795, 065849,   35.0,  2297,
0660200517, 092795, 065800,   45.5,  2311,
0660200516, 092795, 065649,   60.4,  2298,
0660200515, 092795, 065545,   74.5,  2322,
0660200514, 092795, 065455,   85.0,  2311,
0660200513, 092795, 065356,   93.9,  2323,
0660200512, 092795, 065311,  104.1,  2314,
0660200511, 092795, 065209,  114.4,  2324,
0660200510, 092795, 065114,  124.0,  2315,
0660200509, 092795, 065021,  134.1,  2310,
0660200508, 092795, 064910,  149.1,  2303,
0660200507, 092795, 064810,  160.5,  2302,
0660200506, 092795, 064703,  174.4,  2299,
0660200505, 092795, 064605,  185.1,  2299,
0660201313, 092895, 065942,    5.3,  2300,
0660201312, 092895, 065812,   25.0,  2302,
0670200515, 102795, 025759,  199.4,  2293,
0670200621, 102795, 060555,    4.6,  2307,
0670200618, 102795, 060354,   24.4,  2306,
0670200617, 102795, 060244,   44.3,  2312,
0670200616, 102795, 060053,   59.4,  2304,
0670200615, 102795, 055948,   75.0,  2311,
0670200614, 102795, 055845,   84.9,  2313,
0670200612, 102795, 055651,  104.1,  2310,
0670200611, 102795, 055549,  114.9,  2315,
0670200610, 102795, 055453,  124.8,  2312,
0670200609, 102795, 055349,  134.7,  2309,
0670200608, 102795, 055252,  149.1,  2310,
0670200607, 102795, 055157,  158.3,  2304,
0670200606, 102795, 055045,  174.3,  2307,
0670200605, 102795, 054953,  185.0,  2301,
0680200622, 111795, 060149,    5.0,  2304,
0680200619, 111795, 055913,   24.0,  2307,
0680200618, 111795, 055807,   34.5,  2301,
0680200617, 111795, 055708,   44.3,  2298,
0680200616, 111795, 055605,   60.9,  2304,
0680200615, 111795, 055436,   74.5,  2308,
0680200614, 111795, 055324,   85.5,  2318,
0680200613, 111795, 055211,   94.1,  2314,
0680200612, 111795, 055109,  104.3,  2313,
0680200611, 111795, 054958,  114.3,  2312,
0680200610, 111795, 054836,  125.0,  2309,
0680200609, 111795, 054726,  134.5,  2311,
0680200608, 111795, 054621,  149.9,  2309,
0680200607, 111795, 054525,  160.3,  2299,
0680200606, 111795, 054428,  175.1,  2295,
0680200605, 111795, 054328,  184.7,  2298,
0690200721, 011796, 075754,    4.6,  2297,
0690200718, 011796, 075546,   24.9,  2292,
0690200717, 011796, 075452,   34.8,  2296,
0690200716, 011796, 075348,   44.8,  2299,
0690200714, 011796, 075136,   74.6,  2300,
0690200713, 011796, 075032,   84.3,  2304,
0690200712, 011796, 074934,   94.4,  2307,
0690200711, 011796, 074834,  104.4,  2309,
0690200710, 011796, 074734,  114.4,  2312,
0690200709, 011796, 074628,  124.8,  2310,
0690200708, 011796, 074520,  134.9,  2314,
0690200707, 011796, 074412,  149.5,  2315,
0690200706, 011796, 074312,  160.0,  2310,
0690200705, 011796, 074208,  174.4,  2307,
0690200704, 011796, 074114,  184.4,  2298,
0700200621, 032796, 080046,    4.8,  2290,
0700200618, 032796, 075824,   24.4,  2293,
0700200617, 032796, 075726,   34.0,  2295,
0700200616, 032796, 075626,   44.3,  2290,
0700200615, 032796, 075518,   58.8,  2291,
0700200613, 032796, 075314,   84.4,  2311,
0700200612, 032796, 075216,   95.2,  2303,
0700200611, 032796, 075112,  104.6,  2306,
0700200610, 032796, 075008,  114.7,  2313,
0700200609, 032796, 074912,  123.7,  2311,
0700200608, 032796, 074824,  134.0,  2311,
0700200607, 032796, 074724,  148.7,  2308,
0700200606, 032796, 074630,  159.1,  2305,
0700200605, 032796, 074532,  173.0,  2309,
0700200604, 032796, 074440,  184.3,  2304,
0700200603, 032796, 074340,  199.6,  2295,
0710200622, 042496, 070331,    4.6,  2288,
0710200619, 042496, 070105,   23.6,  2288,
0710200618, 042496, 065939,   34.3,  2289,
0710200617, 042496, 065833,   44.1,  2286,
0710200616, 042496, 065725,   59.0,  2291,
0710200615, 042496, 065613,   74.1,  2297,
0710200614, 042496, 065503,   84.4,  2300,
0710200613, 042496, 065353,   94.2,  2302,
0710200612, 042496, 065247,  104.1,  2304,
0710200611, 042496, 065137,  114.8,  2312,
0710200610, 042496, 065037,  123.9,  2307,
0710200609, 042496, 064921,  134.5,  2309,
0710200608, 042496, 064807,  150.5,  2308,
0710200607, 042496, 064659,  160.5,  2309,
0710200606, 042496, 064545,  174.5,  2310,
0710200605, 042496, 064419,  183.9,  2317,
0720200221, 052296, 060931,    5.1,  2294,
0720200218, 052296, 060707,   24.6,  2296,
0720200217, 052296, 060554,   35.1,  2303,
0720200216, 052296, 060452,   44.5,  2302,
0720200215, 052296, 060328,   61.1,  2309,
0720200214, 052296, 060206,   75.1,  2310,
0720200213, 052296, 060053,   85.0,  2307,
0720200212, 052296, 055936,   94.3,  2311,
0720200211, 052296, 055826,  105.1,  2310,
0720200210, 052296, 055720,  116.3,  2310,
0720200209, 052296, 055600,  125.0,  2310,
0720200208, 052296, 055452,  134.8,  2316,
0720200207, 052296, 055332,  149.0,  2308,
0720200206, 052296, 055217,  159.4,  2306,
0720200205, 052296, 055052,  175.1,  2306,
0720200204, 052296, 054922,  186.2,  2302,
0730200623, 062696, 070517,    4.0,  2269,
0730200619, 062696, 070225,   24.6,  2272,
0730200618, 062696, 070111,   35.2,  2269,
0730200617, 062696, 065955,   45.0,  2295,
0730200616, 062696, 065833,   59.3,  2305,
0730200615, 062696, 065721,   74.4,  2308,
0730200614, 062696, 065607,   84.5,  2308,
0730200613, 062696, 065503,   94.9,  2310,
0730200612, 062696, 065357,  104.7,  2311,
0730200611, 062696, 065249,  114.5,  2309,
0730200610, 062696, 065131,  124.1,  2315,
0730200609, 062696, 065015,  134.0,  2307,
0730200608, 062696, 064907,  150.0,  2309,
0730200607, 062696, 064801,  159.0,  2308,
0730200606, 062696, 064637,  174.6,  2303,
0730200605, 062696, 064531,  184.6,  2307,
0740200623, 072796, 065603,    4.4,  2279,
0740200620, 072796, 065409,   24.3,  2275,
0740200618, 072796, 065301,   33.9,  2277,
0740200617, 072796, 065203,   44.6,  2277,
0740200616, 072796, 065111,   58.9,  2281,
0740200615, 072796, 065009,   74.8,  2299,
0740200614, 072796, 064917,   84.5,  2301,
0740200613, 072796, 064817,   95.1,  2306,
0740200612, 072796, 064729,  103.8,  2303,
0740200611, 072796, 064629,  113.7,  2305,
0740200610, 072796, 064535,  124.2,  2312,
0740200609, 072796, 064439,  134.2,  2312,
0740200607, 072796, 064301,  150.2,  2310,
0740200606, 072796, 064213,  159.2,  2312,
0740200605, 072796, 064117,  174.3,  2302,
0740200604, 072796, 064029,  184.6,  2303,
0740200603, 072796, 063927,  199.9,  2298,
0750200624, 082196, 080153,    5.2,  2284,
0750200621, 082196, 075921,   25.1,  2283,
0750200619, 082196, 075829,   34.6,  2282,
0750200618, 082196, 075721,   44.9,  2283,
0750200617, 082196, 075618,   59.8,  2298,
0750200616, 082196, 075507,   74.5,  2300,
0750200615, 082196, 075405,   84.6,  2308,
0750200614, 082196, 075259,   95.0,  2304,
0750200613, 082196, 075203,  104.4,  2305,
0750200612, 082196, 075105,  114.2,  2308,
0750200611, 082196, 075007,  125.3,  2307,
0750200610, 082196, 074851,  135.7,  2307,
0750200609, 082196, 074727,  150.4,  2306,
0750200608, 082196, 074615,  160.0,  2305,
0750200607, 082196, 074509,  176.0,  2304,
0750200606, 082196, 074359,  185.6,  2300,
0750200605, 082196, 074259,  199.8,  2298,
0760200624, 100296, 065924,    3.8,  2289,
0760200622, 100296, 065822,   14.2,  2298,
0760200620, 100296, 065723,   24.2,  2291,
0760200619, 100296, 065626,   34.9,  2295,
0760200618, 100296, 065540,   43.6,  2298,
0760200617, 100296, 065430,   59.6,  2300,
0760200616, 100296, 065318,   73.8,  2307,
0760200615, 100296, 065212,   84.6,  2309,
0760200614, 100296, 065118,   94.5,  2307,
0760200613, 100296, 065016,  103.7,  2305,
0760200612, 100296, 064908,  115.3,  2309,
0760200611, 100296, 064808,  124.3,  2308,
0760200610, 100296, 064710,  134.8,  2305,
0760200609, 100296, 064608,  148.7,  2300,
0760200608, 100296, 064500,  159.4,  2302,
0760200607, 100296, 064358,  175.1,  2299,
0760200606, 100296, 064306,  183.8,  2294,
0760200605, 100296, 064200,  199.9,  2292,
0770200422, 103096, 070334,    4.3,  2304,
0770200421, 103096, 070232,   14.7,  2305,
0770200419, 103096, 070052,   24.2,  2304,
0770200418, 103096, 065934,   34.9,  2311,
0770200417, 103096, 065806,   43.7,  2309,
0770200416, 103096, 065650,   59.6,  2303,
0770200415, 103096, 065528,   74.1,  2307,
0770200414, 103096, 065424,   84.4,  2305,
0770200413, 103096, 065310,   95.4,  2306,
0770200412, 103096, 065202,  104.4,  2313,
0770200411, 103096, 065052,  114.2,  2307,
0770200410, 103096, 064946,  123.8,  2305,
0770200409, 103096, 064844,  135.2,  2303,
0770200408, 103096, 064722,  149.7,  2301,
0770200407, 103096, 064616,  159.8,  2303,
0770200406, 103096, 064438,  175.2,  2302,
0770200405, 103096, 064334,  185.2,  2297,
0780200621, 121196, 093257,    4.3,  2294,
0780200620, 121196, 093133,   14.6,  2293,
0780200618, 121196, 092945,   24.2,  2293,
0780200617, 121196, 092821,   35.0,  2287,
0780200616, 121196, 092653,   44.5,  2293,
0780200615, 121196, 092535,   59.5,  2289,
0780200614, 121196, 092411,   74.2,  2291,
0780200613, 121196, 092249,   83.9,  2294,
