botid, date, time, press, lln, 
#, mmddyy, hhmmss, dbar, nmol/kg, 
0660201018, 092795, 215045,   24.8,    1.0,
0660201017, 092795, 214934,   45.2,    1.5,
0660201016, 092795, 214817,   74.0,    1.7,
0660201014, 092795, 214644,  100.0,    3.2,
0660201013, 092795, 214525,  124.6,  674.4,
0660201124, 092895, 011258,    4.2,    2.3,
0660201122, 092895, 011118,   14.6,    1.9,
0660201120, 092895, 010920,   24.7,    2.8,
0660201116, 092895, 010541,   44.3,    4.8,
0660201112, 092895, 010134,   75.0,    3.4,
0660201109, 092895, 005815,  104.5,  725.9,
0660201218, 092895, 040350,    5.2,    1.7,
0660201216, 092895, 040058,   24.3,    2.2,
0660201215, 092895, 035944,   43.3,    3.4,
0660201214, 092895, 035820,   73.8,    2.5,
0660201213, 092895, 035653,   98.8,    4.7,
0660201212, 092895, 035530,  125.4,  741.1,
0660201418, 092895, 100216,    4.9,    3.4,
0660201416, 092895, 100010,   24.8,    1.0,
0660201414, 092895, 095806,   44.2,    1.1,
0660201411, 092895, 095526,   74.6,    1.7,
0660201409, 092895, 095332,   99.3,    2.2,
0660201407, 092895, 095125,  124.9,  806.0,
0670200622, 102795, 060603,    4.6,    4.5,
0670200620, 102795, 060458,   13.6,    2.5,
0670200618, 102795, 060354,   24.4,    2.0,
0670200617, 102795, 060244,   44.3,    2.1,
0670200616, 102795, 060053,   59.4,   32.9,
0670200615, 102795, 055948,   75.0,    3.0,
0670200614, 102795, 055845,   84.9,    2.2,
0670200612, 102795, 055651,  104.1,    2.1,
0670200611, 102795, 055549,  114.9,    3.9,
0670200610, 102795, 055453,  124.8,   13.3,
0670200609, 102795, 055349,  134.7,  395.1,
0680200622, 111795, 060149,    5.0,    2.6,
0680200621, 111795, 060036,   14.1,    5.2,
0680200619, 111795, 055913,   24.0,    3.8,
0680200618, 111795, 055807,   34.5,    3.8,
0680200617, 111795, 055708,   44.3,    3.8,
0680200616, 111795, 055605,   60.9,    2.1,
0680200615, 111795, 055436,   74.5,    2.4,
0680200614, 111795, 055324,   85.5,    3.0,
0680200613, 111795, 055211,   94.1,   38.2,
0680200612, 111795, 055109,  104.3,  502.1,
0690200721, 011796, 075754,    4.6,    3.3,
0690200720, 011796, 075656,   14.5,    1.5,
0690200718, 011796, 075546,   24.9,    1.5,
0690200717, 011796, 075452,   34.8,    2.1,
0690200716, 011796, 075348,   44.8,    2.1,
0690200715, 011796, 075242,   59.6,    1.8,
0690200714, 011796, 075136,   74.6,    1.3,
0690200713, 011796, 075032,   84.3,    1.6,
0690200712, 011796, 074934,   94.4,    2.3,
0690200711, 011796, 074834,  104.4,   62.8,
0690200710, 011796, 074734,  114.4,  365.5,
0700200622, 032796, 080100,    4.8,    8.2,
