botid, date, time, press, don, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0570200403, 092394, 074918,  200.0,   3.47,
0580200516, 101594, 063216,    4.4,   4.59,
0580200514, 101594, 062520,  225.2,   3.27,
0580200513, 101594, 062402,  235.3,   3.35,
0580200512, 101594, 062230,  250.3,   3.65,
0580200511, 101594, 062105,  274.8,   3.90,
0580200510, 101594, 061929,  299.4,   3.34,
0580200509, 101594, 061753,  325.0,   3.49,
0580200508, 101594, 061612,  349.7,   3.45,
0580200507, 101594, 061352,  400.9,   2.87,
0580200506, 101594, 061043,  500.6,   2.59,
0580200505, 101594, 060737,  601.3,   2.09,
0580200504, 101594, 060423,  700.5,   1.96,
0580200503, 101594, 060113,  800.2,   1.75,
0580200502, 101594, 055821,  898.9,   1.64,
0580200501, 101594, 055434, 1020.3,   1.81,
0580200622, 101594, 090603,    5.0,   4.98,
0580200621, 101594, 090506,   14.6,   5.48,
0580200619, 101594, 090350,   25.0,   6.07,
0580200618, 101594, 090259,   34.3,   6.45,
0580200617, 101594, 090155,   44.6,   5.78,
0580200616, 101594, 090029,   59.5,   5.66,
0580200615, 101594, 085919,   74.5,   5.64,
0580200614, 101594, 085814,   84.2,   5.65,
0580200613, 101594, 085659,   94.7,   5.56,
0580200612, 101594, 085552,  104.7,   5.46,
0580200611, 101594, 085446,  115.3,   5.10,
0580200610, 101594, 085344,  124.7,   4.57,
0580200609, 101594, 085237,  134.8,   4.52,
0580200608, 101594, 085125,  149.5,   4.05,
0580200606, 101594, 084859,  174.4,   4.22,
0580200604, 101594, 084631,  200.8,   3.12,
0590200415, 112094, 044822,  224.2,   3.22,
0590200414, 112094, 044731,  234.4,   5.49,
0590200413, 112094, 044639,  250.7,   3.01,
0590200412, 112094, 044532,  275.7,   2.74,
0590200411, 112094, 044421,  301.1,   2.57,
0590200410, 112094, 044309,  325.9,   2.53,
0590200409, 112094, 044201,  351.6,   1.85,
0590200408, 112094, 044019,  400.8,   1.91,
0590200406, 112094, 043612,  506.5,   1.59,
0590200405, 112094, 043313,  606.5,   1.67,
0590200404, 112094, 042943,  700.7,   1.39,
0590200403, 112094, 042643,  801.9,   1.01,
0590200402, 112094, 042313,  899.4,   1.03,
0590200401, 112094, 042014, 1018.2,   1.27,
0590200521, 112094, 074403,    5.3,   5.57,
0590200520, 112094, 074305,   14.8,   5.73,
0590200518, 112094, 074159,   25.2,   6.54,
0590200517, 112094, 074104,   34.2,   5.91,
0590200516, 112094, 074000,   43.2,   5.27,
0590200515, 112094, 073843,   58.7,   5.10,
0590200514, 112094, 073739,   74.0,   4.54,
0590200513, 112094, 073617,   86.5,   4.31,
0590200512, 112094, 073511,   94.9,   5.08,
0590200511, 112094, 073417,  102.3,   4.83,
0590200510, 112094, 073315,  115.7,   5.59,
0590200509, 112094, 073217,  125.2,   5.15,
0590200508, 112094, 073105,  135.4,   5.00,
0590200507, 112094, 072946,  150.6,   4.57,
0590200505, 112094, 072743,  173.0,   5.00,
0590200503, 112094, 072524,  200.0,   3.48,
0600200415, 020695, 045143,  209.6,   4.83,
0600200414, 020695, 045033,  225.0,   5.56,
0600200413, 020695, 044944,  234.3,   5.48,
0600200412, 020695, 044838,  249.5,   3.62,
0600200411, 020695, 044722,  274.3,   4.24,
0600200410, 020695, 044606,  299.3,   3.68,
0600200409, 020695, 044443,  325.0,   3.80,
0600200408, 020695, 044323,  350.0,   3.72,
0600200407, 020695, 044142,  400.2,   3.36,
0600200406, 020695, 043915,  495.3,   2.81,
0600200405, 020695, 043640,  600.1,   2.42,
0600200404, 020695, 043401,  702.1,   2.41,
0600200403, 020695, 043102,  799.4,   1.57,
0600200402, 020695, 042836,  899.9,   1.30,
0600200401, 020695, 042538, 1019.7,   1.21,
0600200522, 020695, 075910,    4.9,   6.07,
0600200521, 020695, 075809,   14.9,   6.59,
0600200519, 020695, 075652,   23.2,   7.69,
0600200518, 020695, 075556,   34.1,   6.80,
0600200517, 020695, 075505,   43.8,   6.21,
0600200516, 020695, 075410,   59.8,   6.31,
0600200515, 020695, 075314,   74.9,   6.40,
0600200514, 020695, 075220,   84.8,   5.66,
0600200513, 020695, 075139,   95.5,   6.89,
0600200512, 020695, 075053,  104.3,   5.83,
0600200511, 020695, 075008,  113.5,   6.56,
0600200509, 020695, 074812,  123.8,   5.43,
0600200508, 020695, 074717,  133.6,   5.32,
0600200507, 020695, 074619,  149.8,   4.50,
0600200506, 020695, 074522,  160.2,   4.87,
0600200505, 020695, 074424,  175.1,   4.80,
0600200504, 020695, 074333,  184.4,   4.43,
0600200503, 020695, 074227,  199.5,   5.37,
0610200315, 030495, 044557,  209.8,   3.95,
0610200314, 030495, 044435,  225.6,   3.49,
0610200313, 030495, 044325,  234.0,   3.85,
0610200312, 030495, 044200,  249.6,   2.33,
0610200311, 030495, 044035,  275.0,   3.23,
0610200310, 030495, 043848,  299.0,   3.07,
0610200309, 030495, 043705,  325.3,   3.44,
0610200308, 030495, 043545,  349.7,   3.32,
0610200307, 030495, 043311,  404.2,   3.19,
0610200306, 030495, 042959,  501.4,   2.57,
0610200305, 030495, 042728,  601.3,   2.17,
0610200304, 030495, 042459,  697.3,   1.21,
0610200303, 030495, 042222,  799.5,   1.82,
0610200302, 030495, 041947,  901.3,   1.63,
0610200301, 030495, 041630, 1020.9,   1.40,
0610200422, 030495, 080036,    5.5,   8.53,
0610200421, 030495, 075930,   15.0,   8.42,
0610200419, 030495, 075819,   25.5,   7.68,
0610200418, 030495, 075717,   34.0,   6.06,
0610200417, 030495, 075600,   44.7,   6.89,
0610200416, 030495, 075458,   57.9,   9.36,
0610200415, 030495, 075325,   78.0,   5.82,
0610200414, 030495, 075206,   85.2,   6.09,
0610200413, 030495, 075058,   96.0,   6.36,
0610200412, 030495, 074941,  106.3,   5.11,
0610200411, 030495, 074833,  111.9,   5.50,
0610200410, 030495, 074728,  123.6,   5.73,
0610200409, 030495, 074631,  134.2,   4.58,
0610200407, 030495, 074441,  149.2,   4.92,
0610200405, 030495, 074228,  174.9,   3.88,
0610200403, 030495, 074008,  200.0,   3.62,
0620201523, 040795, 131428,    4.8,   5.79,
0620201521, 040795, 131212,   24.6,   5.13,
0620201519, 040795, 131049,   44.2,   5.16,
0620201517, 040795, 130840,   74.3,   6.47,
0620201513, 040795, 130526,  105.1,   5.65,
0620201512, 040795, 130417,  115.1,   5.51,
0620201511, 040795, 130240,  124.3,   5.71,
0620201509, 040795, 130048,  149.5,   5.23,
0620201508, 040795, 125917,  174.4,   5.24,
0620201507, 040795, 125730,  199.5,   4.99,
0620201506, 040795, 125451,  250.0,   4.27,
0620201504, 040795, 125132,  299.9,   4.19,
0620201503, 040795, 124502,  500.9,   2.94,
0620201501, 040795, 122942, 1020.0,   1.56,
0620201612, 040795, 155033,  200.2,   5.24,
0620201611, 040795, 154901,  249.6,   4.11,
0620201610, 040795, 154723,  301.1,   3.73,
0620201609, 040795, 154542,  349.2,   3.42,
0620201608, 040795, 154401,  401.0,   2.99,
0620201607, 040795, 154221,  451.2,   3.38,
0620201606, 040795, 154039,  500.8,   2.65,
0620201605, 040795, 153807,  600.8,   3.00,
0620201604, 040795, 153555,  700.3,   2.34,
0620201603, 040795, 153336,  802.0,   1.70,
0620201602, 040795, 153049,  903.1,   1.91,
0620201601, 040795, 152733, 1020.4,   1.69,
0630200416, 050795, 055523,  209.6,   3.20,
0630200415, 050795, 055425,  223.8,   3.43,
0630200414, 050795, 055327,  234.2,   3.26,
0630200413, 050795, 055225,  249.2,   3.53,
0630200412, 050795, 055111,  273.7,   3.71,
0630200411, 050795, 054955,  300.3,   3.71,
0630200410, 050795, 054838,  323.9,   3.50,
0630200409, 050795, 054719,  349.4,   3.21,
0630200408, 050795, 054542,  399.8,   2.91,
0630200407, 050795, 054301,  499.3,   2.95,
0630200405, 050795, 053938,  600.1,   2.70,
0630200404, 050795, 053658,  700.4,   2.42,
0630200403, 050795, 053201,  800.5,   1.97,
0630200402, 050795, 052925,  898.1,   2.08,
0630200401, 050795, 052616, 1020.7,   2.13,
0630200523, 050795, 090218,    5.0,   4.19,
