botid, date, time, press, llp, 
#, mmddyy, hhmmss, dbar, nmol/kg, 
0670201013, 102795, 174701,   24.8,  110.4,
0670201012, 102795, 174602,   44.5,   27.3,
0670201011, 102795, 174454,   74.6,   24.4,
0670201010, 102795, 174334,   99.8,   40.0,
0670201008, 102795, 174152,  124.9,   85.9,
0670201006, 102795, 174001,  148.8,  135.7,
0670201005, 102795, 173842,  175.7,  308.6,
0670201119, 102795, 205453,    5.1,   58.6,
0670201117, 102795, 205255,   24.6,   40.0,
0670201115, 102795, 205136,   44.7,   34.2,
0670201113, 102795, 204859,   75.2,   39.1,
0670201111, 102795, 204731,  100.2,   92.8,
0670201109, 102795, 204612,  125.5,  166.0,
0670201107, 102795, 204430,  150.3,  377.0,
0670201106, 102795, 204309,  173.0,  444.4,
0670201224, 102895, 000309,    5.2,   41.0,
0670201220, 102795, 235954,   25.3,   41.0,
0670201216, 102795, 235615,   44.9,   34.2,
0670201212, 102795, 235224,   74.8,   41.0,
0670201210, 102795, 235017,   94.3,  113.3,
0670201207, 102795, 234713,  125.6,  229.5,
0670201206, 102795, 234605,  149.5,  325.2,
0670201205, 102795, 234451,  174.6,  466.9,
0670201314, 102895, 025734,    3.4,   41.0,
0670201310, 102895, 025126,  100.0,   88.9,
0670201307, 102895, 024630,  174.2,  282.3,
0680200319, 111695, 205113,    4.3,   28.3,
0680200315, 111695, 204837,   25.1,   22.5,
0680200313, 111695, 204738,   44.8,   26.4,
0680200312, 111695, 204638,   74.5,   22.5,
0680200309, 111695, 204441,   99.3,   68.4,
0680200307, 111695, 204252,  124.6,   88.9,
0680200306, 111695, 204148,  149.9,  151.4,
0680200305, 111695, 204043,  175.7,  216.8,
0680200419, 111695, 235606,    5.1,   41.0,
0680200415, 111695, 235311,   25.2,   36.1,
0680200413, 111695, 235153,   44.6,   32.2,
0680200412, 111695, 235013,   74.5,   37.1,
0680200409, 111695, 234759,   99.3,   86.9,
0680200407, 111695, 234603,  124.7,  109.4,
0680200406, 111695, 234451,  150.1,  169.9,
0680200405, 111695, 234340,  174.1,  245.1,
0680200523, 111795, 030510,    4.7,  102.5,
0680200522, 111795, 030413,   25.5,   40.0,
0680200521, 111795, 030310,   44.6,   43.0,
0680200520, 111795, 030157,   74.3,   43.9,
0680200519, 111795, 030053,  100.8,  118.2,
0680200518, 111795, 025946,  124.9,  150.4,
0680200517, 111795, 025836,  149.6,  219.7,
0680200516, 111795, 025733,  174.5,  268.6,
0680200622, 111795, 060149,    5.0,   38.1,
0680200621, 111795, 060036,   14.1,   43.0,
0680200619, 111795, 055913,   24.0,   38.1,
0680200618, 111795, 055807,   34.5,   39.1,
0680200617, 111795, 055708,   44.3,   35.2,
0680200616, 111795, 055605,   60.9,   36.1,
0680200615, 111795, 055436,   74.5,   41.0,
0680200612, 111795, 055109,  104.3,  117.2,
0680200610, 111795, 054836,  125.0,  165.0,
0680200608, 111795, 054621,  149.9,  210.0,
0680200606, 111795, 054428,  175.1,  262.7,
0680200717, 111795, 085738,   59.6,   42.0,
0680200713, 111795, 085209,   99.2,   76.2,
0680200711, 111795, 084912,  121.2,  190.4,
0680200710, 111795, 084733,  149.9,  178.7,
0680200709, 111795, 084611,  174.4,  210.0,
0690200721, 011796, 075754,    4.6,   58.6,
0690200720, 011796, 075656,   14.5,   70.3,
0690200718, 011796, 075546,   24.9,   64.5,
0690200717, 011796, 075452,   34.8,   64.5,
0690200716, 011796, 075348,   44.8,   62.5,
0690200715, 011796, 075242,   59.6,   49.8,
0690200714, 011796, 075136,   74.6,   53.7,
